,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish (old),Turkish,Vietnamese
909,Otto Fischer,Otto Fischer,أوتو فيشر,奥托·费舍尔,奧托·菲舍爾,Otto Fischer,Otto Fischer,Otto Fischer,Otto Fischer,Otto Fischer,ओटो फिशर,Otto Fischer,Otto Fischer,오토 피셔,オットー・フィッシャー,Otto Fischer,Otto Fischer,Otto Fischer,Otto Fischer,Otto Fischer,Отто Фишер,Otto Fischer,Otto Fischer,อ็อตโตฟิสเชอร์,Otto Fischer,Otto Fischer,Otto Fischer
910,Daniel Auber,Daniel Auber,دانييل أوبر,丹尼尔·奥贝尔,丹尼爾·奧貝爾,Daniel Auber,Daniel Auber,Daniel Auber,Daniel Auber,Daniel Auber,डैनियल ऑबेर,Daniel Auber,Daniel Auber,다니엘 오베르,ダニエル・オベール,Daniel Auber,Daniel Auber,Daniel Auber,Daniel Auber,Daniel Auber,Даниэль Обер,Daniel Auber,Daniel Auber,แดเนียล โอแบร์,Daniel Auber,Daniel Auber,Daniel Auber
911,Clack Chen,Clack Chen,تشن هيهي,陈黑黑,陳黑黑,Clack Chen,Clack Chen,Clack Chen,Clack Chen,Clack Chen,क्लैक चेन,Clack Chen,Clack Chen,클랙 첸,クラック・チェン,Clack Chen,Clack Chen,Clack Chen,Clack Chen,Clack Chen,Clack Chen,Chen,Klack chen,Clack Chen,Clack Chen,Clack Chen,Clack Chen
912,Thomas Haynes Bayly,Thomas Haynes Bayly,توماس هاينز بيلي,托马斯·海恩斯·贝利,托馬斯·海恩斯·貝利,Thomas Haynes Bayly,Thomas Haynes Bayly,Thomas Haynes Bayly,Thomas Haynes Bayly,Thomas Haynes Bayly,थॉमस हेन्स बेली,Thomas Haynes Bayly,Thomas Haynes Bayly,토마스 헤인즈 베일리,トーマス・ヘインズ・ベイリー,Thomas Haynes Bayly,Thomas Haynes Bayly,Thomas Haynes Bayly,Thomas Haynes Bayly,Thomas Haynes Bayly,Томас Хейнс Бэйли,Thomas Haynes Bayly,Thomas Haynes Bayly,Thomas Haynes Bayly,Thomas Haynes Bayly,Thomas Haynes Bayly,Thomas Haynes Bayly
913,Johann Baptist Vanhal,Johann Baptist Vanhal,يوهان بابتيست وانهيل,约翰·巴蒂斯特·万哈尔,約翰·巴蒂斯特·萬哈爾,Johann Baptist Vanhal,Johann Baptist Vanhal,Johann Baptist Vanhal,Johann Baptist Vanhal,Johann Baptist Vanhal,जोहान बैपटिस्ट वनहल,Johann Baptist Vanhal,Johann Baptist Vanhal,요한 침례교 반할,ヨハン・バプティスト・ヴァンハル,Johann Baptist Vanhal,Johann baptist Vanhal,Johann Baptist Vanhal,Johann Batista Vanhal,Johann Batista Vanhal,Иоганн Баптист Вангал,Johann Bautista Vanhal,Johann Baptist Vanhal,Johann Baptist Vanhal,Johann Baptist Vanhal,Johann Baptist Vanhal,Johann Baptist Vanhal
914,William J.Kirkpatrick,William J.Kirkpatrick,وليام كيركباتريك,柯克帕特里克,柯克帕特里克,William J.Kirkpatrick,William J.Kirkpatrick,William J.Kirkpatrick,William J.Kirkpatrick,William J.Kirkpatrick,विलियम जेकेरकपैट्रिक,William J.Kirkpatrick,William J.Kirkpatrick,윌리엄 J. 커크 패트릭,ウィリアム・J・カークパトリック,William J.Kirkpatrick,William J.Kirkpatrick,William J.Kirkpatrick,William J.Kirkpatrick,William J.Kirkpatrick,Уильям Дж. Киркпатрик,William J.Kirkpatrick,William J.Kirkpatrick,William J.Kirkpatrick,William J. Kirkpatrick,William J.Kirkpatrick,William J.Kirkpatrick
915,Vincenzo Bellini,Vincenzo Bellini,فينتشنزو بيليني,贝里尼,貝里尼,Vincenzo Bellini,Vincenzo Bellini,Vincenzo Bellini,Vincenzo Bellini,Vincenzo Bellini,विन्सेन्ज़ो बेलिनी,Vincenzo Bellini,Vincenzo Bellini,빈첸초 벨리니,ヴィンチェンツォ・ベッリーニ,Vincenzo Bellini,Vincenzo Bellini,Vincenzo Bellini,Vincenzo Bellini,Vincenzo Bellini,Винченцо Беллини,Vincenzo Bellini,Vincenzo Bellini,Vincenzo Bellini,Vincenzo Bellini,Vincenzo Bellini,Vincenzo Bellini
916,Ede Poldini,Ede Poldini,إيدي بولديني,波迪尼,波迪尼,Ede Poldini,Ede Poldini,Ede Poldini,EDE Poldini,Ede Poldini,एड पोल्डिनी,Ede Poldini,Ede Poldini,에데 폴디니,エデ・ポルディーニ,Ede Poldini,Ede Poldini,Ede Poldini,Ede Poldini,Ede Poldini,Эде Полдини,Ede poldini,Ede Poldini,Ede Poldini,Ede Poldini,Ede Poldini,Ede Poldini
917,John Worgan,John Worgan,جون,沃根,沃根,John Worgan,John Worgan,John Worgan,John Worgan,John Worgan,जॉन वर्गन,John Corgan,John Worgan,존 워건,ジョン・ウォーガン,John Worgan,John Worgan,John Worgan,John Worgan,John Worgan,Джон Ворген,John Worgan,John morgan,John Worgan,John Worgan,John Worgan,John Worgan
918,Gesangbuch Wurttemberg,Gesangbuch Württemberg,تراتيل فورتمبيرغ,德国圣诗集,德國聖詩集,Gesangbuch Württemberg,Gesangbuch Württemberg,Gesangbuch württemberg,Gesangbuch Württemberg,Gesangbuch Württemberg,Gesangbuch Württemberg,Gesangbuch Württemberg,Gesangbuch Württemberg,게상부흐 뷔르템베르크,ウュルテンベルク賛美歌集,Gesangbuch Württemberg,Gesangbuch Württemberg,Gesangbuch Württemberg,Gesangbuch Württemberg,Gesangbuch Württemberg,Gesangbuch Württemberg,Gesangbuch Württemberg,Gesangbuch württemberg,Gesangbuch Württemberg,Gesangbuch Württemberg,Gesangbuch Württemberg,Gesangbuch Württprice
919,August Ludvig Storm,August Ludvig Storm,أغسطس لودفيج,奥古斯·特斯顿,奧古斯·特斯頓,August Ludvig Storm,August Ludvig Storm,Elokuu Ludvig Storm,August Ludvig Storm,August Ludvig Storm,अगस्त लुडविग स्टॉर्म,August Ludvig Storm,August Ludvig Storm,어거스트 루드비히 스톰,アウグスト・ルドヴィグ・ストルム,Ogos Ludvig Storm,August Ludvig Storm,Sierpień Ludvig Storm,August Ludvig Storm,August Ludvig Storm,Август Людвиг,August Ludvig Storm,Augusti Ludvig Storm,August Ludvig Storm,Ağustos Ludvig Storm,August Ludvig Storm,Tháng 8 Ludvig Storm
920,Stephen Adams,Stephen Adams,ستيفن ادامز,斯蒂芬·亚当斯,斯蒂芬·亞當斯,Stephen Adams,Stephen Adams,Stephen Adams,Stephen Adams,Stephen Adams,स्टीफन एडम्स,Stephen Adams,Stephen Adams,스티븐 아담스,スティーブン・アダムス,Stephen Adams,Stephen Adams,Stephen Adams,Stephen Adams,Stephen Adams,Стивен Адамс,Stephen Adams,Stephen Adams,สตีเฟ่นอดัมส์,Stephen Adams,Stephen Adams,Stephen Adams
921,George F.Root,George F.Root,جورج فريدريك الجذر,鲁特,魯特,George F.Root,George F.Root,George F.root,George F.Root,George F.Root,जॉर्ज एफ.रोट,George F.Root,George F.Root,조지 F. 루트,ジョージ・F・ルート,George F.Root,George F.Root,George F.Root,George F.root,George F.root,Джордж Ф. Рут,George F.Root,George F.Root,George F.Root,George F. Root,George F.Root,George F.Root
922,J.L.Streabbog,J.L.Streabbog,ج.ل.ستريابوغ,约翰·斯特里亚博格,約翰·斯特里亞博格,J.L.Streabbog,J.L.Streabbog,J.L.Streabbog,J.L.Streabbog,J.L.Streabbog,जे.एल.स्ट्रेबॉग,J.L.Streabbog,J.L.Streabbog,제이.엘.스트레압보그,J.L.ストレアボグ,J.L.Streabbog,J.L.Streabbog,J.L.Streabbog,J.L.Streabbog,J.L.Streabbog,Й.Л.Штреаббог,J.L.Streabbog,J.L.Streabbog,เจ.แอล. สเตร็บบอก,J.L. Streabbog,J.L.Streabbog,J.L.Streabbog
923,Brazilian Children's Song,Brazilian Children's Song,الأغنية الأطفال البرازيلية,巴西儿歌,巴西兒歌,Braziliaanse kinderlied,Brazilian Children's Song,Brasilialaisten lasten laulu,Chanson des enfants brésiliens,Brasilianisches Kinderlied,ब्राजील के बच्चों का गीत,Lagu anak -anak Brasil,Canzone dei bambini brasiliani,브라질 어린이 노래,ブラジル童謡,Lagu Kanak -kanak Brazil,Brasiliansk barnesang,Brazylijska piosenka dla dzieci,Música para crianças brasileiras,Música para crianças brasileiras,Бразильская детская песня,Canción infantil brasileña,Brasiliansk barnsång,เพลงเด็กบราซิล,Brezilyalı çocuk şarkısı,Brezilya Çocuk Şarkısı,Bài hát của trẻ em Brazil
924,Shih Che Huang,Shih Che Huang,هوانغ شي تشه,黄士哲,黃士哲,Shih Che Huang,Shih Che Huang,Shih che Huang,Shih Che Huang,Shih Che Huang,शिह चे हुआंग,Shih Che Huang,Shih Che Huang,시체 황,黄士哲,Shih Che Huang,Shih Che Huang,Shih Che Huang,Shih Che Huang,Shih Che Huang,Shih Che Huang,Shih che huang,Shih Che Huang,Shih Che Huang,Shih Che Huang,Shih Che Huang,Shih Che Huang
925,Stephen C. Foster,Stephen C. Foster,فوستر,福斯特,福斯特,Stephen C. Foster,Stephen C. Foster,Stephen C. Foster,Stephen C. Foster,Stephen C. Foster,स्टीफन सी। फोस्टर,Stephen C. Foster,Stephen C. Foster,스티븐 C. Foster,スティーブン・C・フォスター,Stephen C. Foster,Stephen C. Foster,Stephen C. Foster,Stephen C. Foster,Stephen C. Foster,Стивен К. Фостер,Stephen C. Foster,Stephen C. Foster,สตีเฟ่นซี. ฟอสเตอร์,Stephen C. Foster,Stephen C. Foster,Stephen C. Foster
926,C.W.von.Gluck,C.W.von.Gluck,غلوك,格鲁克,格魯克,C.w.von.gluck,C.W.von.Gluck,C.W.von.gluck,C.w.von.gluck,C.W.von.Gluck,C.w.von.gluck,C.W.Von.Gluck,C.w.von.gluck,C.W.von.Gluck,クリストフ・ヴィリバルト・グルック,C.W.VON.GLUCK,C.W.Von.Gluck,C.W.Von.gluck,C.W.Von.Gluck,C.W.Von.Gluck,К. В. Глюк,C.W.Von.Gluck,C.W.Von.gluck,C.W.Von.Gluck,C.W. von Gluck,C.W.von.Gluck,C.w.von.gluck
927,C.S. Brainard,C.S. Brainard,برينرد,布雷纳德,布雷納德,C.S. Brainard,C.S. Brainard,C. S. Brainard,C.S. Brainard,C.S. Brainard,सी.एस. ब्रेनार्ड,C.S. Brainard,C.S. Brainard,C.S. 브레이너드,C.S.ブレイナード,C.S. Brainard,C. Brainard,C.S. Brainard,C.S. Brainard,C.S. Brainard,К. С. Брэйнард,C.S. Brainard,C.S. Brainard,C.S. Brainard,C.S. Brainard,C.S. Brainard,C.S.
928,David Lan Yiduo,David Lan Yiduo,ديفيد لان يي دوه,蓝一多,藍一多,David Lan Yiduo,David Lan Yiduo,David Lan Yiduo,David Lan Yiduo,David Lan Yiduo,डेविड लैन यिडुओ,David Lan Yiduo,David Lan Yiduo,데이비드 란 이두오,藍一多,David Lan Yiduo,David Lan Yiduo,David Lan Yiduo,David Lan Yiduo,David Lan Yiduo,Дэвид Лан Идуо,David Lan Yiduo,David Lan Yiduo,David Lan Yiduo,David Lan Yiduo,David Lan Yiduo,David Lan Yiduo
929,Kyrene,Kyrene,كرين,秋色,秋色,Kyrene,Kyrene,Kyreeni,Kyrène,Kyrene,क्येन,Kyrene,Kyrene,Kyrene,クルシェネク,Kyrene,Kyrene,Kirene,Kyrene,Kyrene,Kyrene,Kireno,Kyren,คีรีน,Kyrene,Kyrene,Kyrene
930,Georges Bachmann,Georges Bachmann,جورج باخمان,巴赫曼,巴赫曼,Georges Bachmann,Georges Bachmann,Georges Bachmann,Georges Bachmann,Georges Bachmann,जॉर्जेस बाचमन,Georges Bachmann,Georges Bachmann,조지 바흐만,ジョルジュ・バッハマン,Georges Bachmann,Georges Bachmann,Georges Bachmann,Georges Bachmann,Georges Bachmann,Жорж Бакман,Georges Bachmann,Georges Bachmann,Georges Bachmann,Georges Bachmann,Georges Bachmann,Georges Bachmann
931,Claude Debussy,Claude Debussy,كلود ديبوسي,德彪西,德彪西,Claude Debussy,Claude Debussy,Claude Debussy,Claude Debussy,Claude Debussy,क्लाउड डेबुसी,Claude Debussy,Claude Debussy,클로드 드뷔시,クロード・ドビュッシー,Claude Debussy,Claude Debussy,Claude Debussy,Claude Debussy,Claude Debussy,Клод Дебюсси,Claude Debussy,Claude Debussy,Claude Debussy,Claude Debussy,Claude Debussy,Claude Debussy
932,Vittorio Monti,Vittorio Monti,فيتوريو مونتي,蒙蒂,蒙蒂,Vittorio Monti,Vittorio Monti,Vittorio Monti,Vittorio Monti,Vittorio Monti,विटोरियो मोंटी,Vittorio Monti,Vittorio Monti,비토리오 몬티,ヴィットーリオ・モンティ,Vittorio Monti,Vittorio Monti,Vittorio Monti,Vittorio Monti,Vittorio Monti,Витторио Монти,Vittorio Monti,Vittorio Monti,Vittorio Monti,Vittorio Monti,Vittorio Monti,Vittorio Monti
933,Jorge Monzon,Jorge Monzon,جورجي مونزون,豪尔赫·蒙松,豪爾赫·蒙松,Jorge Monzon,Jorge Monzon,Jorge Monzon,Jorge Monzon,Jorge Monzon,जॉर्ज मोनज़ोन,Jorge Monzon,Jorge Monzon,호르헤 몬존,ジョルジ・モンゾン,Jorge Monzon,Jorge Monzon,Jorge Monzon,Jorge Monzon,Jorge Monzon,Хорхе Монсон,Jorge Monzon,Jorge Monzon,Jorge Monzon,Jorge Monzon,Jorge Monzon,Jorge Monzon
934,Hua Feng,Hua Feng,فنغ هوا,封铧,封鏵,Hua Feng,Hua Feng,Hua Feng,Hua Feng,Hua Feng,हुआ फेंग,Hua Feng,Hua Feng,후아 펑,封鏵,Hua Feng,Hua Feng,Hua Feng,Hua Feng,Hua Feng,Hua Feng,Hua Feng,Hua feng,ฮุยเฟิง,Hua Feng,Hua Feng,Hua Feng
935,Huang Tzu,Huang Tzu,هوانغ تسي,黄自,黃自,Huang Tzu,Huang Tzu,Huang Tzu,Huang Tzu,Huang Tzu,ज़ी हुआंग,Huang Tzu,Huang Tzu,지 황,ツィー・ファン,Huang Tzu,Huang Tzu,Huang Tzu,Huang Tzu,Huang Tzu,Huang Tzu,Huang Tzu,Huang Tzu,Huang Tzu,Huang Tzu,Huang Tzu,Huang Tzu
936,Julian Martinez,Julian Martinez,جوليآن مارتينيز,朱利安·马丁内斯,朱利安·馬丁內斯,Julian Martinez,Julian Martinez,Julian Martinez,Julian Martinez,Julian Martinez,जूलियन मार्टिनेज,Julian Martinez,Julian Martinez,줄리안 마르티네즈,ジュリアン・マーティネズ,Julian Martinez,Julian Martinez,Julian Martinez,Julian Martinez,Julian Martinez,Джулиан Мартинес,Julian Martínez,Julian Martinez,จูเลียนมาร์ติเนซ,Julian Martinez,Julian Martinez,Julian Martinez
937,Wu Judy Chin - tai,Wu Judy Chin - tai,وو جين داي,吴金黛,吳金黛,Wu Judy Chin - Tai,Wu Judy Chin - tai,Wu Judy Chin - Tai,Wu Judy Chin - Tai,Wu Judy Chin - tai,वू जुडी चिन - ताई,Wu Judy Chin - Tai,Wu Judy Chin - Tai,우 주디 친 - 타이,吳金黛,Wu Judy Chin - Tai,Wu Judy Chin - Tai,Wu Judy Chin - Tai,Wu Judy Chin - Tai,Wu Judy Chin - Tai,Wu Judy Chin - tai,Wu Judy Chin - Tai,Wu Judy Chin - Tai,วูจูดี้ชิน - ไท,Wu Judy Chin - Tai,Wu Judy Chin - tai,Wu Judy Chin - Tai
938,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,डैनियल पॉटर,Daniel Powter,Daniel Powter,다니엘 파우터,ダニエル・パウター,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter
939,P!nk,P!nk,P!nk,P!nk,P!nk,P! Nk,P!nk,P! Nk,P! NK,P!nk,पी! एन.के.,P! Nk,P! Nk,P!nk,ピンク,P! Nk,P! Nk,P! Nk,P! NK,P! NK,P!nk,P! NK,P! Nk,P! nk,P! NK,P!nk,P! NK
940,Carl Reinecke,Carl Reinecke,كارل,赖内克,賴內克,Carl Reinecke,Carl Reinecke,Carl Reinecke,Carl Reinecke,Carl Reinecke,कार्ल रेनकेक,Carl Reinecke,Carl Reinecke,칼 레이네케,カール・ライネッケ,Carl Reinecke,Carl Rebecke,Carl Reinecke,Carl Reinecke,Carl Reinecke,Карл Райнеке,Carl Reinecke,Carl Reinecke,Carl Reinecke,Carl Reinecke,Carl Reinecke,Carl Reinecke
941,Fritz Kreisler,Fritz Kreisler,فريتز كرايسلر,克莱斯勒,克萊斯勒,Fritz Kreisler,Fritz Kreisler,Fritz Kreisler,Fritz Kreisler,Fritz Kreisler,फ्रिट्ज क्रेइस्लर,Fritz Kreisler,Fritz Kreisler,프리츠 크라이슬러,フリッツ・クライスラー,Fritz Kreisler,Fritz Kreisler,Fritz Kreisler,Fritz Kreisler,Fritz Kreisler,Фриц Крейслер,Fritz Kreisler,Fritz Kreisler,Fritz Kreisler,Fritz Kreisler,Fritz Kreisler,Fritz Kreisler
942,SuBin Lim,SuBin Lim,سوبين لي,李素彬,李素彬,Subin Lim,SuBin Lim,Subin lim,Subin lim,SuBin Lim,सबिन लिम,Subin Lim,Subin Lim,임수빈,李素彬,Subin Lim,Subin lim,Lim Subin,Subin lim,Subin lim,Lim Subin,Subin limón,Subin Lim,subin lim,Subin Lim,SuBin Lim,Subin Lim
943,Spanish Folk Music,Spanish Folk Music,الموسيقى الشعبية الأسبانية,西班牙民谣,西班牙民謠,Spaanse volksmuziek,Spanish Folk Music,Espanjalainen kansanmusiikki,Musique folk espagnole,Spanischer Folk,स्पेनिश लोक संगीत,Musik Rakyat Spanyol,Musica folk spagnola,스페인 민속 음악,スペイン民謡,Muzik rakyat Sepanyol,Spansk folkemusikk,Hiszpańska muzyka ludowa,Música folclórica espanhola,Música folclórica espanhola,Испанская народная песня,Música folclórica española,Spansk folkmusik,ดนตรีพื้นบ้านสเปน,İspanyol halk müziği,İspanyol Halk Müziği,Âm nhạc dân gian Tây Ban Nha
944,Alyfee Yao,Alyfee Yao,أليفي ياو,徐敬尧,徐敬堯,Alyfee Yao,Alyfee Yao,Alyfee Yao,Alyfee Yao,Alyfee Yao,एलाइफी याओ,Alyfee Yao,Alyfee Yao,Alyfee Yao,徐敬堯,Alyfee Yao,Alyfee Yao,Alyfee Yao,Alyfee Yao,Alyfee Yao,Alyfee Yao,Alyfee Yao,Alyfee Yao,Alyfee Yao,Alyfee Yao,Alyfee Yao,Alyfee Yao
945,Gaetano Braga,Gaetano Braga,غايتانو براغا,G.布拉戈,G.布拉戈,Gaetano Braga,Gaetano Braga,Gaetano Braga,Gaetano Braga,Gaetano Braga,गेटानो ब्रागा,Gaetano Braga,Gaetano Braga,가에타노 브라가,ガエターノ・ブラーガ,Gaetano Braga,Gaetano Braga,Gaetano Braga,Gaetano Braga,Gaetano Braga,Gaetano Braga,Gaetano Braga,Gaetano braga,Gaetano Braga,Gaetano Braga,Gaetano Braga,Gaetano Braga
946,Vietnamese Folk Music,Vietnamese Folk Music,الموسيقى الشعبية الفيتنامية,越南民谣,越南民謠,Vietnamese volksmuziek,Vietnamese Folk Music,Vietnamilainen kansanmusiikki,Musique folklorique vietnamienne,Vietnamesischer Folk,वियतनामी लोक संगीत,Musik rakyat Vietnam,Musica popolare vietnamita,베트남 민속 음악,ベトナム民謡,Muzik rakyat Vietnam,Vietnamesisk folkemusikk,Wietnamska muzyka ludowa,Música folclórica vietnamita,Música folclórica vietnamita,Вьетнамская народная песня,Música popular vietnamita,Vietnamesisk folkmusik,ดนตรีพื้นบ้านเวียดนาม,Vietnam halk müziği,Vietnam Halk Müziği,Âm nhạc dân gian Việt Nam
947,Auguste Durand,Auguste Durand,دوراند,杜让,杜讓,Auguste Durand,Auguste Durand,Auguste Durand,Auguste Durand,Auguste Durand,ऑगस्ट डूरंड,Auguste Durand,Auguste Durand,오귀스트 듀랑,オーギュスト・デュラン,Auguste Durand,Auguste Durand,Auguste Durand,Auguste Durand,Auguste Durand,Огюст Дюран,Auguste Durand,Auguste Durand,Auguste Durand,Auguste Durand,Auguste Durand,Auguste Durand
948,Louis-Claude Daquin,Louis-Claude Daquin,لويس كلود,达坎,達坎,Louis-Claude Daquin,Louis-Claude Daquin,Louis-Claude Daquin,Louis-Claude Daquin,Louis-Claude Daquin,लुईस-क्लाउड डिक्विन,Louis-Claude Daquin,Louis-Claude Daquin,루이 클로드 다캥,ルイ＝クロード・ダカン,Louis-Claude Daquin,Louis-Claude Daquin,Louis-Claude Daquin,Louis-Claude Daquin,Louis-Claude Daquin,Луи Клод Дакен,Louis-Claude Daquin,Louis-Claude Daquin,Louis-Claude Daquin,Louis-Claude Daquin,Louis-Claude Daquin,Louis-Claude Daquin
949,Edward MacDowell,Edward MacDowell,إدوارد,麦克道尔,麥克道爾,Edward MacDowell,Edward MacDowell,Edward MacDowell,Edward MacDowell,Edward MacDowell,एडवर्ड मैकडॉवेल,Edward MacDowell,Edward MacDowell,에드워드 맥도웰,エドワード・マクダウェル,Edward MacDowell,Edward MacDowell,Edward MacDowell,Edward MacDowell,Edward MacDowell,Эдуард Мак-Доуэлл,Edward MacDowell,Edward MacDowell,Edward MacDowell,Edward Macdowell,Edward MacDowell,Edward MacDowell
950,Louis Liao,Louis Liao,لويس لياو,廖书伟,廖書偉,Louis Liao,Louis Liao,Louis Liao,Louis Liao,Louis Liao,लुइस लियाओ,Louis Liao,Louis Liao,루이 리아오,廖書偉,Louis Liao,Louis Liao,Louis Liao,Louis Liao,Louis Liao,Louis Liao,Louis Liao,Louis Liao,Louis Liao,Louis Liao,Louis Liao,Louis Liao
951,Sebastián Iradier,Sebastián Iradier,سباستيان إيرادير,塞巴斯蒂安·伊拉迪尔,塞巴斯蒂安·伊拉迪爾,Sebastián Iradier,Sebastián Iradier,Sebastián Iradier,Sebastián Iradier,Sebastián Iradier,Sebastián Iradier,Sebastián Iradier,Sebastián Iradier,세바스티안 이라디에르,セバスティアン・イラディエル,Sebastián Iradier,Sebastián Iradier,Sebastián Iradier,Sebastián Iradier,Sebastián Iradier,Sebastián Iradier,Sebastián Iradier,Sebastián Iradier,เซบาสเตียน อิราดีเอร์,Sebastián Iradier,Sebastián Iradier,Sebastián Iradier
952,Europa Huang,Europa Huang,يوروبا هوانغ,黄建为,黃建為,Europa Huang,Europa Huang,Europa Huang,Europa Huang,Europa Huang,यूरोपा हुआंग,Europa Huang,Europa Huang,유로파 황,黄建為,Europa Huang,Europa Huang,Europa Huang,Europa Huang,Europa Huang,Europa Huang,Europa Huang,Europa Huang,Europa Huang,Europa Huang,Europa Huang,Europa Huang
953,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,केली क्लार्कसन,Kelly Clarkson,Kelly Clarkson,켈리 클락슨,ケリー・クラークソン,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,เคลลี่คลาร์กสัน,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson
954,Feeder,Feeder,Feeder,Feeder,Feeder,Voeder,Feeder,Syöttölaite,Mangeur,Feeder,फीडर,Pengumpan,Alimentatore,Feeder,フィーダー,Feeder,Mater,Podajnik,Alimentador,Alimentador,Feeder,Alimentador,Matare,เครื่องให้อาหาร,Besleyici,Feeder,Người cung cấp
955,Lee Ann Womack,Lee Ann Womack,Lee Ann Womack,Lee Ann Womack,Lee Ann Womack,Lee Ann Womack,Lee Ann Womack,Lee Ann Womack,Lee Ann Womack,Lee Ann Womack,ली एन वोमैक,Lee Ann Womack,Lee Ann Womack,리 앤 워맥,リー・アン・ウォマック,Lee Ann Womack,Lee Ann Womack,Lee Ann Womack,Lee Ann Womack,Lee Ann Womack,Lee Ann Womack,Lee Ann Womack,Lee Ann Womack,Lee Ann Womack,Lee Ann Womack,Lee Ann Womack,Lee Ann Womack
956,Tears For Fears,Tears For Fears,Tears For Fears,Tears For Fears,Tears For Fears,Tranen voor angsten,Tears For Fears,Kyyneleet pelot,Larmes pour les peurs,Tears For Fears,भय के लिए आँसू,Air mata untuk Ketakutan,Lacrime di paura,두려움에 대한 눈물,ティアーズ・フォー・フィアーズ,Air mata untuk ketakutan,Tårer for frykt,Łzy z obaw,Lagrimas para medo,Lagrimas para medo,Tears For Fears,Lágrimas de miedo,Tårar av rädsla,น้ำตาเพื่อความกลัว,Korkular için gözyaşları,Tears For Fears,Khóc vì sợ
957,Guns N'Roses,Guns N'Roses,Guns N'Roses,Guns N'Roses,Guns N'Roses,Wapens n'roses,Guns N'Roses,Guns n Roses,Guns n'rose,Guns N'Roses,गन्स एंड रोज़ेज़,Senjata N'Roses,Guns N'Roses,Guns N'Roses,ガンズ・アンド・ローゼズ,Guns n'roses,Pistoler og roser,Pistolety i Róże,Armas e rosas,Armas e rosas,Guns N'Roses,Guns N Roses,Pistoler och rosor,ปืน n'roses,Silahlar ve güller,Guns N'Roses,Súng N'Roses
958,Adolf von Henselt,Adolf von Henselt,Adolf von Henselt,阿道夫·冯·亨泽尔特,阿道夫·馮·亨澤爾特,Adolf von Henselt,Adolf von Henselt,Adolf von Henselt,Adolf von Hensell,Adolf von Henselt,एडोल्फ वॉन हेन्सल्ट,Adolf von Henselt,Adolf von Henselt,아돌프 폰 헨셀트,アドルフ・フォン・ヘンゼルト,Adolf von Henselt,Adolf von Henselt,Adolf von Henselt,Adolf von Henselt,Adolf von Henselt,Adolf von Henselt,Adolf von Henselt,Adolf von Henselt,Adolf von Henselt,Adolf von Henselt,Adolf von Henselt,Adolf von Henselt
959,Jin Shi,Jin Shi,شي جين,石进,石進,Jin Shi,Jin Shi,Jin Shi,Jin Shi,Jin Shi,जिन शि,Jin Shi,Jin Shi,진시,石進,Jin Shi,Jin Shi,Jin Shi,Jin Shi,Jin Shi,Jin Shi,Jin shi,Jin shi,จินชี,Jin Shi,Jin Shi,Jin Shi
960,Philippine Folk Song,Philippine Folk Song,الأغنية الشعبية الفلبينية,菲律宾民谣,菲律賓民謠,Filippijnse volkslied,Philippine Folk Song,Filippiinien kansanlaulu,Chanson folklorique philippine,Philippinischer Folk,फिलीपीन लोक गीत,Lagu rakyat Filipina,Canzone popolare filippina,필리핀 민요,フィリピン民謡,Lagu rakyat Filipina,Filippinsk folkesang,Filipińska piosenka ludowa,Música folclórica filipina,Música folclórica filipina,Филиппинская народная песня,Canción popular filipina,Filippinsk folk,เพลงพื้นบ้านฟิลิปปินส์,Filipin Halk Şarkısı,Filipin Halk Şarkısı,Bài hát dân gian Philippines
961,Francisco Tarrega,Francisco Tarrega,فرانسيسكو تاريغا,塔雷加,塔雷加,Francisco Tarrega,Francisco Tarrega,Francisco Tarrega,Francisco Tarrega,Francisco Tarrega,फ्रांसिस्को टार्रेग्गा,Francisco Tarrega,Francisco Tarrega,프란시스코 타레가,フランシスコ・タレガ,Francisco Tarrega,Francisco Tarrega,Francisco Tarrega,Francisco Tarrega,Francisco Tarrega,Франсиско Таррега,Francisco Tarrega,Francisco tarrega,Francisco Tarrega,Francisco Tarrega,Francisco Tárrega,Francisco Tarrega
